"Stage","Diet","ModelType","Model","Equation","R2","RMSE","AIC"
"Adult","100%","Symbolic","Symbolic","log(rate) = ((sqrt(sqrt(x0)) * x0) * (0.080975786 - (((0.95780146 - sqrt(exp(sqrt(x0) * 1.6960567))) * -6.2218287e-6) * x0))) + -6.4149284 ; rate = exp(.)",0.999995422641877,8.45145730216387e-05,-87.7858657667643
"Adult","50%","Symbolic","Symbolic","log(rate) = (x0 * (((x0 * ((x0 * -3.2247587e-7) * x0)) + 0.030815886) * sqrt(x0 - -6.425535))) + -6.311057 ; rate = exp(.)",0.999847366724471,0.000390239885619233,-72.4874891660035
"Adult","25%","Symbolic","Symbolic","log(rate) = sqrt(x0) + ((sqrt(x0 - exp(2.7553487 - (0.35716978 * x0))) * 0.40062097) + (-9.79857 - (exp(sqrt(x0) * 2.7553487) * 9.9610915e-8))) ; rate = exp(.)",0.999995676294115,5.32810340769785e-05,-92.3993012356878
"Adult","12%","Symbolic","Symbolic","log(rate) = ((x0 + 3.6166291) + (((((x0 * -0.001579307) + 0.031618103) * (sqrt(sqrt(x0 + 0.03084036)) + x0)) + -5.139885) * sqrt(x0))) + (sqrt(x0 - 0.3897509) * -0.9760605) ; rate = exp(.)",0.999999859542878,8.50214117704743e-06,-110.751925230082
"Pupal","100%","Symbolic","Symbolic","log(rate) = -5.853905 - ((((x0 * 0.00031753653) + -0.014013846) * (x0 - 0.70491874)) * (x0 + (x0 * (x0 * ((x0 * 0.0004038374) + -0.013555409))))) ; rate = exp(.)",0.999994528512793,9.24010379577561e-05,-86.8937234607068
"Pupal","50%","Symbolic","Symbolic","log(rate) = (x0 * (((sqrt(sqrt(sqrt(exp(sqrt(x0 + x0))))) * -0.0066070296) + 0.024178235) * x0)) + ((-4.92857 - (x0 * -0.8841355)) - x0) ; rate = exp(.)",0.999999973244814,5.32220990497737e-06,-115.436219451912
"Pupal","25%","Symbolic","Symbolic","log(rate) = ((x0 * 2.901445) + ((x0 * (x0 * (x0 * -0.00064318615))) - (((x0 * x0) * -0.11830238) + (sqrt(x0) * x0)))) + -14.316724 ; rate = exp(.)",0.99999781740317,4.25247416227905e-05,-94.6542449559051
"Pupal","12%","Symbolic","Symbolic","log(rate) = ((x0 * 0.04084752) + ((x0 * (x0 * -0.00069680455)) + -0.7804512)) * (x0 - (((x0 * (x0 - -1.3969481)) * 0.020898448) + -4.1726766)) ; rate = exp(.)",0.999999998357115,1.04369848589717e-06,-131.727399168284
"Adult","100%","Classical","Logan","rate ~ psi * (exp(rho * Temp) - exp(rho * Tmax - (Tmax - Temp)/Delta))",0.996443205527267,0.00235588203758315,-52.5084008338383
"Adult","50%","Classical","Logan","rate ~ psi * (exp(rho * Temp) - exp(rho * Tmax - (Tmax - Temp)/Delta))",0.997508027524676,0.00157680745307968,-56.5235307542481
"Adult","25%","Classical","Briere","rate ~ a * Temp * (Temp - Tmin) * sqrt(Tmax - Temp)",0.97519864231026,0.00403536015070038,-49.1265972456421
"Adult","12%","Classical","Briere","rate ~ a * Temp * (Temp - Tmin) * sqrt(Tmax - Temp)",0.985001185639973,0.00277833682140943,-52.8590279599197
"Pupal","100%","Classical","Logan","rate ~ psi * (exp(rho * Temp) - exp(rho * Tmax - (Tmax - Temp)/Delta))",0.996443205527267,0.00235588203758315,-52.5084008338383
"Pupal","50%","Classical","Logan","rate ~ psi * (exp(rho * Temp) - exp(rho * Tmax - (Tmax - Temp)/Delta))",0.997957002120493,0.00147069280332254,-57.2202169443875
"Pupal","25%","Classical","Logan","rate ~ psi * (exp(rho * Temp) - exp(rho * Tmax - (Tmax - Temp)/Delta))",0.996859800435914,0.00161299695663326,-56.2966136661502
"Pupal","12%","Classical","Briere","rate ~ a * Temp * (Temp - Tmin) * sqrt(Tmax - Temp)",0.994868763317742,0.00184451599822657,-56.9553836748911
